alias,brand,manufacturer,note
IMPRESSION,Impression,Impression,latin
ASSISTANT,Assistant,Assistant,latin
GIGABYTE,Gigabyte,Gigabyte,latin
FLY IQ,Fly,Fly,brand-line
EXPLAY,Explay,Explay,latin
TEXET,teXet,teXet,latin
DIGMA,Digma,Digma,latin
PANTECH,Pantech,Pantech,latin
SHARP,Sharp,Sharp,latin
TOSHIBA,Toshiba,Toshiba,latin
ACER,Acer,Acer,latin
DELL,Dell,Dell,latin
COOLPAD,Coolpad,Coolpad,latin
GIONEE,Gionee,Gionee,latin
ELEPHONE,Elephone,Elephone,latin
LEAGOO,Leagoo,Leagoo,latin
HOMTOM,HomTom,HomTom,latin
BLUBOO,Bluboo,Bluboo,latin
VKWORLD,VKworld,VKworld,latin
INOI,INOI,INOI,latin
S-TELL,S-TELL,S-TELL,latin
KENEKSI,Keneksi,Keneksi,latin
ASTRO,Astro,Astro,latin
VIAAN,Viaan,Viaan,latin
GRESSO,Gresso,Gresso,latin
JINGA,Jinga,Jinga,latin
TEXET TM,teXet,teXet,latin
VOXTEL,Voxtel,Voxtel,latin
MOTOROLA MOTO,Motorola,Motorola,brand-line
MOTO,Motorola,Motorola,sub-brand
TECHNO,Tecno,Transsion,typo
REDMOND,Redmond,Redmond,latin
GSMART,Gigabyte,Gigabyte,sub-brand
NEFF,Neff,Neff,latin
THL,THL,THL,latin
NOUS,Nous,Nous,latin
SPARK,Tecno,Transsion,sub-brand
IPPON,Ippon,Ippon,latin
INFINITY,Infinity,Infinity,latin
НОКІЯ,Nokia,Nokia,translit-uk
ЛЖ,LG,LG,translit
СОНИЕРИКСОН,Sony Ericsson,Sony,translit-ru
МОТОРОЛЛА,Motorola,Motorola,translit
САМСУНГХ,Samsung,Samsung,translit-glued
САМСУНГЕ,Samsung,Samsung,translit-glued
САМСУНГС,Samsung,Samsung,translit-glued
СИМЕНСС,Siemens,Siemens,translit-glued
